fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,collection_id
LOW,0,100,1770487959.7143,1770488030.092,1770488013.9517279,0.061967341753539816,0.25129999999999997,0.3101201338191379,1.5300794097039538,7.26,1.569376946434476,col_20260207_191320_5hz
LOW,20,120,1770488024.8977,1770488031.4254,1770488028.1672752,0.06281155322868555,0.25129999999999997,0.3098737350922146,1.3901488553388806,7.1899999999999995,1.4523257210419431,col_20260207_191320_5hz
LOW,40,140,1770488026.2311,1770488032.7407,1770488029.4825418,0.06108338674304168,0.2505,0.3090055607913877,1.457117579332567,7.35,1.5507185431276689,col_20260207_191320_5hz
LOW,60,160,1770488027.5484,1770488034.0776,1770488030.800744,0.06170079257189489,0.252,0.31383896125242317,1.4508989316971737,7.4399999999999995,1.5543928074975129,col_20260207_191320_5hz
LOW,80,180,1770488028.8643,1770488035.3954,1770488032.1201077,0.06000294579435246,0.252,0.3109089860393231,1.5052451096083987,7.4399999999999995,1.7024758441751824,col_20260207_191320_5hz
LOW,100,200,1770488030.1587,1770488036.6974,1770488033.440035,0.06394016987778496,0.25980000000000003,0.3095027166278189,1.5080066312851543,7.4399999999999995,1.6824387061643584,col_20260207_191320_5hz
LOW,120,220,1770488031.4741,1770488038.0307,1770488034.7611008,0.06552945501833507,0.2629,0.3041090605358545,1.7219281518112186,7.6499999999999995,1.9077227261842848,col_20260207_191320_5hz
LOW,140,240,1770488032.8074,1770488040.6653,1770488036.3551261,0.06648131951157407,0.2629,0.30731118918776773,1.659343180297554,7.6499999999999995,1.8184628123775313,col_20260207_191320_5hz
LOW,160,260,1770488034.1443,1770488041.9764,1770488037.937282,0.06425366009808312,0.2609,0.3004099375852936,1.6613176577644624,7.28,1.8005249234598224,col_20260207_191320_5hz
LOW,180,280,1770488035.462,1770488043.3114,1770488039.5186832,0.06400461210725365,0.2609,0.2932959016079154,1.719308846600866,7.5,1.7837973539614862,col_20260207_191320_5hz
LOW,200,300,1770488036.764,1770488044.6448,1770488041.1034632,0.062250131598254474,0.2609,0.29772650570615977,1.8276289995510577,7.5,1.9135020250838513,col_20260207_191320_5hz
LOW,220,320,1770488039.7143,1770488045.9427,1770488042.685863,0.05965331424154068,0.2409,0.3029021274273259,1.6888229362487945,8.02,1.7684549753951897,col_20260207_191320_5hz
LOW,240,340,1770488040.7319,1770488047.259,1770488043.9963484,0.06061523112221878,0.24070000000000003,0.3005107482270809,1.716142403764909,8.02,1.7968586477516812,col_20260207_191320_5hz
LOW,260,360,1770488042.0431,1770488048.5925,1770488045.3173318,0.061719849926907634,0.24070000000000003,0.30510292017612684,1.6843941670523557,8.02,1.7774889591780871,col_20260207_191320_5hz
LOW,280,380,1770488043.3781,1770488049.8935,1770488046.6388443,0.06447823961616818,0.24880000000000002,0.3050873609312585,1.7066829699742128,8.44,1.8130267510436795,col_20260207_191320_5hz
LOW,300,400,1770488044.676,1770488051.2268,1770488047.9552503,0.06510430476550687,0.259,0.30678658852694324,1.770771797832798,7.970000000000001,1.8596999758025485,col_20260207_191320_5hz
LOW,320,420,1770488046.0094,1770488052.5714,1770488049.280997,0.06689264009590293,0.259,0.30122039754970115,1.8023252176008635,8.129999999999999,1.8574355978068258,col_20260207_191320_5hz
LOW,340,440,1770488047.3257,1770488053.8845,1770488050.606249,0.06640120785046007,0.25239999999999996,0.2997608963824334,1.785999227323461,8.129999999999999,1.8244516984562786,col_20260207_191320_5hz
LOW,360,460,1770488048.6591,1770488055.1902,1770488051.9285681,0.06705820077365632,0.26360000000000006,0.29789280504906457,1.7502670967598062,8.129999999999999,1.7888859661811873,col_20260207_191320_5hz
LOW,380,480,1770488049.9601,1770488056.5032,1770488053.248718,0.06407058120541752,0.26360000000000006,0.3042897474447669,1.6546917658585238,7.4799999999999995,1.6922606182264006,col_20260207_191320_5hz
LOW,400,500,1770488051.3048,1770488057.8365,1770488054.570658,0.06296263653945885,0.2561,0.300353518374598,1.667101709554639,8.66,1.6862351556055282,col_20260207_191320_5hz
LOW,420,520,1770488052.6381,1770488059.152,1770488055.8867712,0.0610957298016809,0.2368,0.30543286627342514,1.6196039515881653,8.66,1.6624054860352213,col_20260207_191320_5hz
LOW,440,540,1770488053.9511,1770488060.4614,1770488057.202344,0.061724316594029625,0.2405,0.30503135429001393,1.6949978731550077,9.059999999999999,1.7489611202082223,col_20260207_191320_5hz
LOW,460,560,1770488055.2569,1770488061.7906,1770488058.520075,0.058614536857336,0.2405,0.30325555279334954,1.782368118543417,9.17,1.8387139527397947,col_20260207_191320_5hz
LOW,480,580,1770488056.5698,1770488063.093,1770488059.839615,0.060017853810345474,0.2405,0.30140404476383525,1.7756030412228967,9.17,1.8412305667677797,col_20260207_191320_5hz
LOW,500,600,1770488057.8853,1770488064.4263,1770488061.1575747,0.06276513314731358,0.2722,0.29810148523615243,1.7541587014862707,7.75,1.8907149441415014,col_20260207_191320_5hz
LOW,520,620,1770488059.2187,1770488065.7727,1770488062.4817152,0.0666430438905667,0.2751,0.2954142171595673,1.8292684302747917,7.75,1.9498674313911701,col_20260207_191320_5hz
LOW,540,640,1770488060.5281,1770488067.0757,1770488063.8048954,0.06521968165362355,0.2651,0.2961263546191051,1.90481333468663,7.4399999999999995,1.9855382141877804,col_20260207_191320_5hz
LOW,560,660,1770488061.8572,1770488068.3962,1770488065.1268911,0.0676794571195721,0.2797,0.2987452182044091,1.8536047987637494,7.4399999999999995,1.930520914157627,col_20260207_191320_5hz
LOW,580,680,1770488063.1596,1770488069.1296,1770488066.354207,0.06759153677791326,0.2797,0.3020264190431029,1.841620167135449,7.4399999999999995,1.9354756521330876,col_20260207_191320_5hz
LOW,600,700,1770488064.506,1770488070.4474,1770488067.559042,0.059820824894011616,0.2797,0.3110102929164885,1.7450704398390342,8.370000000000001,1.7829155897013185,col_20260207_191320_5hz
LOW,620,720,1770488065.8394,1770488071.7587,1770488068.7582188,0.05918052830957156,0.2443,0.30633388957149355,1.7313376331611348,8.370000000000001,1.7883607018719685,col_20260207_191320_5hz
LOW,640,740,1770488067.1424,1770488073.0713,1770488069.958713,0.06230609738219848,0.24559999999999998,0.3048618114818581,1.6170104359589026,7.3100000000000005,1.7180520946700075,col_20260207_191320_5hz
LOW,660,760,1770488068.4033,1770488074.3753,1770488071.15881,0.06314234454785474,0.2469,0.30379926415315756,1.6633624259312823,7.3100000000000005,1.7721004486202243,col_20260207_191320_5hz
LOW,680,780,1770488069.1962,1770488075.7086,1770488072.449987,0.06446393304786795,0.2469,0.30474029434913913,1.606680238877668,7.3100000000000005,1.7041593235375616,col_20260207_191320_5hz
LOW,700,800,1770488070.514,1770488077.0488,1770488073.769384,0.06573371947486313,0.2469,0.30576728373061757,1.450477038770349,6.71,1.610814700702722,col_20260207_191320_5hz
LOW,720,820,1770488071.8253,1770488078.3636,1770488075.090058,0.06294197658161046,0.25880000000000003,0.3093979082023665,1.6499983606052462,8.489999999999998,1.7203955940422542,col_20260207_191320_5hz
LOW,740,840,1770488073.1379,1770488079.6915,1770488076.4119608,0.06880881193568161,0.28350000000000003,0.30139954578598815,1.7949374891622267,9.0,1.8823928920392787,col_20260207_191320_5hz
LOW,760,860,1770488074.442,1770488080.9953,1770488077.7359993,0.06805331482742043,0.28250000000000003,0.29746027919707196,1.7588365785370736,9.0,1.8331625678046122,col_20260207_191320_5hz
LOW,780,880,1770488075.7753,1770488082.3286,1770488079.0599923,0.06683198170786199,0.2803,0.2964427558568433,1.791350270047709,9.0,1.8628362783669425,col_20260207_191320_5hz
LOW,800,900,1770488077.1155,1770488083.6375,1770488080.378973,0.06471536528522419,0.2803,0.2990502563115437,1.86416672001192,9.0,1.9100628261918509,col_20260207_191320_5hz
LOW,820,920,1770488078.4303,1770488084.9481,1770488081.6962488,0.06522609762204083,0.2803,0.2992773340899708,1.6843452021483007,7.87,1.7518989696897478,col_20260207_191320_5hz
LOW,840,940,1770488079.7581,1770488086.0058,1770488082.993053,0.05809444010402373,0.24239999999999998,0.30314171520924005,1.6837789166039585,7.23,1.7142164390764663,col_20260207_191320_5hz
