fan_state,collection_id,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,accel_y_g_std,accel_y_g_range,accel_y_g_rms,accel_z_g_std,accel_z_g_range,accel_z_g_rms,gyro_x_dps_std,gyro_x_dps_range,gyro_x_dps_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,gyro_z_dps_std,gyro_z_dps_range,gyro_z_dps_rms,vibration_dps_std,vibration_dps_range,vibration_dps_rms,accel_mag_g_std,accel_mag_g_range,accel_mag_g_rms
LOW_ROT_ON,col_20260222_112119_20hz,0,100,1771770091.154723,1771770096.081773,1771770093.6057177,0.10911946155933872,0.5166000000000001,0.3436325425509057,0.09242211905707422,0.4697,0.15185972178296653,0.04888396890597163,0.1753,1.0824323932698983,4.093627461066774,23.33,4.500977782660118,4.509403076904968,19.06,4.57665500119902,15.081088052259359,64.94,17.503986688751795,9.050630846637102,34.4046,18.643877585188655,0.047428087726493484,0.23606906192345845,1.1457768479944077
LOW_ROT_ON,col_20260222_112119_20hz,20,120,1771770092.13881,1771770097.056446,1771770094.596062,0.11141158705897694,0.5192,0.3359733398649363,0.08051356314932286,0.3586,0.1540139139818218,0.04978991740302449,0.2023999999999999,1.0856273536992331,4.229795247999601,23.33,4.674363700013083,4.546537771755559,19.8,4.561382356259997,15.956097472753168,64.15,16.224909984341977,8.375997648682754,31.405600000000003,17.49010018724021,0.047949401491394525,0.23606906192345845,1.1468152082615577
LOW_ROT_ON,col_20260222_112119_20hz,40,140,1771770093.123849,1771770098.121194,1771770095.602539,0.10951383461006195,0.5127,0.3389559908011658,0.10040024690706692,0.4492,0.14648132474824221,0.05047803897736125,0.2023999999999999,1.0856651240138462,4.259572723877361,23.33,4.7764330833792705,4.204832177388297,19.8,4.205122352560029,15.494649505877828,63.07,16.049532983859688,8.611909931942158,33.6689,17.26513573621708,0.047702571776121194,0.22636411018957747,1.146741777254147
LOW_ROT_ON,col_20260222_112119_20hz,60,160,1771770094.104433,1771770099.101953,1771770096.6081598,0.11388016548547863,0.5415,0.34744033315088796,0.12049265743604463,0.46799999999999997,0.1337479540030426,0.04865368536914754,0.2158,1.0887776252293213,3.916373550875861,20.67,4.680979064255681,4.447558587584879,20.93,4.4541321264641445,14.312635889660577,55.41,17.35657111874347,10.235313237258545,36.9283,18.52029911921511,0.04753071374598683,0.22636411018957747,1.15066937801438
LOW_ROT_ON,col_20260222_112119_20hz,80,180,1771770095.131773,1771770100.09899,1771770097.6170712,0.12122337553458905,0.5478000000000001,0.3525298452613622,0.13737002320375433,0.5471,0.13757270623201392,0.046773809113648215,0.2158,1.0900629774008472,3.607485566152691,18.85,4.5190267757560365,4.198115057975425,20.93,4.2276201343072435,13.331525606246272,47.47,18.909266432096196,11.182670962964572,36.975,19.89610336768233,0.04852787973729704,0.23041366939404462,1.1538807720037632
LOW_ROT_ON,col_20260222_112119_20hz,100,200,1771770096.106446,1771770101.055873,1771770098.6118915,0.11139017651480762,0.5478000000000001,0.35002133992086826,0.1447489360099065,0.6281000000000001,0.16630368727120876,0.042486336109389344,0.2158,1.090689812824893,3.443835958636822,17.25,4.193791959551642,3.72442055090453,20.93,3.7871794253771496,13.108405539576506,42.44,19.506924437235103,11.580303525361328,37.278999999999996,20.30888665257158,0.04742812222963907,0.209927581216641,1.1574869859311594
LOW_ROT_ON,col_20260222_112119_20hz,120,220,1771770097.171194,1771770102.104225,1771770099.6214468,0.10275027737188841,0.5461,0.3383870972717488,0.12413255032826805,0.5039,0.1945041287479523,0.03931769600319938,0.20510000000000006,1.0912175586472206,3.468787792586914,17.189999999999998,3.857041742060876,3.17634938097181,17.799999999999997,3.2466359512578564,13.466710636231848,46.54,18.12373548692432,11.548393333250994,37.278999999999996,18.811893949833973,0.04451012534681699,0.20423570521915746,1.1589190843195223
LOW_ROT_ON,col_20260222_112119_20hz,140,240,1771770098.151953,1771770103.094451,1771770100.6160986,0.10436841794336062,0.5488000000000001,0.3338872489329294,0.10218344883590492,0.5039,0.2180916247818792,0.03628599469492327,0.20510000000000006,1.090836682414008,3.5743814499854376,16.92,3.679803391487105,3.37266005402264,17.799999999999997,3.3786085893456197,16.659978326516512,75.86,17.572663600035142,11.288757586924081,37.278999999999996,18.268950940751903,0.04209304424860211,0.21749379884372688,1.161451384905972
LOW_ROT_ON,col_20260222_112119_20hz,160,260,1771770099.14899,1771770104.109437,1771770101.6175952,0.08937365313670467,0.5488000000000001,0.3220641117852159,0.09625049649222596,0.4799,0.21947607637280195,0.0400064556790526,0.22609999999999997,1.0882875857051757,3.554642479912713,17.39,3.572604652071091,3.010615226162254,15.21,3.019281702657107,18.821517656926606,74.06,18.98220938141817,11.82849315457937,37.9447,19.550034836027788,0.046920310766661755,0.253756537185049,1.155969251061636
LOW_ROT_ON,col_20260222_112119_20hz,180,280,1771770100.105873,1771770105.156022,1771770102.645263,0.08614230976123173,0.48969999999999997,0.32370910846004936,0.11823424842235858,0.5122,0.20496863760097542,0.04151276645804276,0.22310000000000008,1.0844558417473715,3.5005611707267734,17.39,3.6562865040912755,3.1251580744019973,14.93,3.2047731588990818,17.14804506525452,70.84,19.06255638680185,11.822660131941712,37.9447,19.672821578705985,0.048871853731277975,0.253756537185049,1.1501496433073393
LOW_ROT_ON,col_20260222_112119_20hz,200,300,1771770101.154225,1771770106.056022,1771770103.6470993,0.0997496946160739,0.48969999999999997,0.33302195933601736,0.14049268411913837,0.5297000000000001,0.17515702069857206,0.043426603413115335,0.22310000000000008,1.081925885077162,3.3951537520412827,16.68,3.815514382098435,3.871589692878108,18.39,4.053740124872338,14.335966689065652,52.53,19.8950669513827,11.798914988843,37.4912,20.659249127018143,0.05065798781029635,0.253756537185049,1.145489951112623
LOW_ROT_ON,col_20260222_112119_20hz,220,320,1771770102.144451,1771770107.089984,1771770104.644251,0.10588147911226023,0.48969999999999997,0.34541917911430453,0.14423429831700918,0.5891,0.1474376963330613,0.04627764361978687,0.22310000000000008,1.0749476130026057,3.577877163905994,19.17,4.135037363797333,4.40283530807138,18.39,4.627543516813213,13.808607968944589,48.120000000000005,20.5791770486577,11.125174592988822,37.3204,21.494536281543738,0.051854311504768075,0.253756537185049,1.1386679297758413
LOW_ROT_ON,col_20260222_112119_20hz,240,340,1771770103.159437,1771770108.108579,1771770105.6496322,0.10737125917115807,0.488,0.3453664181706148,0.1200349952097304,0.5303,0.12751631777933364,0.04651716646572532,0.22310000000000008,1.0746392502602908,3.797199329769245,19.83,4.160579647116493,4.422514681716727,18.13,4.638305617356407,14.502063570057883,53.760000000000005,19.005368899339995,10.598698079584869,35.7063,20.00070517996303,0.04852286598929174,0.253756537185049,1.1359524163889965
LOW_ROT_ON,col_20260222_112119_20hz,260,360,1771770104.296362,1771770109.058579,1771770106.6395953,0.11390569792157018,0.488,0.34005357710219725,0.09832990195764461,0.4319,0.13593484284759372,0.04689106017142287,0.20599999999999996,1.0704535211768889,3.9216875500223116,22.06,4.090387756680288,4.381651600709486,18.13,4.544458273545924,13.810101909471921,57.379999999999995,15.321513469628256,8.656383347865319,34.8504,16.49642631247144,0.048320190911755954,0.2621593893030235,1.1313644230750761
LOW_ROT_ON,col_20260222_112119_20hz,280,380,1771770105.196362,1771770110.099291,1771770107.6119878,0.11559410373803675,0.48610000000000003,0.33576611636673526,0.07854076584806134,0.3637,0.14557491816930554,0.04746379310590336,0.20409999999999995,1.0719633031965226,4.287214718205749,24.83,4.327431108637086,4.544225416944014,18.74,4.6864041652422594,15.320807684649004,65.82,15.330437795444722,8.739291174557065,32.9412,16.604559715460688,0.04798491207257319,0.274867554052023,1.1327119073709786
LOW_ROT_ON,col_20260222_112119_20hz,300,400,1771770106.139984,1771770111.094375,1771770108.6178515,0.10560914719379187,0.48610000000000003,0.3330601208490743,0.07713644712455975,0.3498,0.1455803479182544,0.049091636140996556,0.20779999999999987,1.0590074645157135,4.377843454259186,24.83,4.383949475073817,4.090824811697514,18.74,4.162550179877716,14.51705816582685,60.92,15.862753071267294,9.381181816477282,32.9412,16.97565528685123,0.049547512260897625,0.274867554052023,1.1196515045763125
LOW_ROT_ON,col_20260222_112119_20hz,320,420,1771770107.17203,1771770112.086658,1771770109.6171865,0.11081537100510923,0.5296,0.3377402586308005,0.09214371190699884,0.4199,0.13478254189619662,0.04648391914415134,0.20779999999999987,1.0593513394053928,4.028845863271515,19.68,4.041925160118629,3.9451564873905824,18.74,4.013534726397668,14.032281674766939,52.919999999999995,18.39554168813737,10.938378629195965,36.9572,19.257255151196908,0.049994552134318825,0.274867554052023,1.1200268194110354
LOW_ROT_ON,col_20260222_112119_20hz,340,440,1771770108.12203,1771770113.233446,1771770110.6396046,0.1095192883970673,0.5379,0.34005574028385405,0.11319346445798008,0.5051,0.12456545428006914,0.044442332792057615,0.20779999999999987,1.0535218070832706,3.942384451065117,19.68,3.9742420661051843,3.803278684240744,18.9,3.8488464505615183,13.464164305295743,47.67999999999999,20.428357251624515,11.803294235517471,36.9572,21.1642712777407,0.05007114257779035,0.274867554052023,1.1140299174169424
LOW_ROT_ON,col_20260222_112119_20hz,360,460,1771770109.149291,1771770114.19405,1771770111.6756656,0.10962843882861782,0.5379,0.3316245995097468,0.11422102522740724,0.4541,0.11423069114734447,0.04107392811748104,0.18899999999999995,1.0572711418080039,3.7290517239641505,19.68,3.7648848587971453,3.7335992433575402,18.9,3.7917121462473915,13.586497845655444,41.76,20.044473926745994,12.351100718689974,36.9572,20.74446218175347,0.04647811456276684,0.26838188565663434,1.1139325801411861
LOW_ROT_ON,col_20260222_112119_20hz,380,480,1771770110.144375,1771770115.104188,1771770112.6775434,0.09745294028914674,0.5379,0.3214511718752943,0.10757114707950269,0.4873,0.12157807121352106,0.03616317014588185,0.1763,1.0541954541260365,3.383822304731736,15.39,3.3848425369579602,3.226747927867933,16.05,3.2850015220696624,13.759412215280127,44.529999999999994,18.116957498432235,11.943707852393702,36.9447,18.720919807731136,0.04118700262243718,0.21838256286266533,1.1088012169906742
LOW_ROT_ON,col_20260222_112119_20hz,400,500,1771770111.136658,1771770116.082059,1771770113.6750805,0.09816557810149136,0.5379,0.316817903218868,0.08783253549226504,0.4292,0.12792229008269043,0.030943372860759707,0.13770000000000004,1.060077710453342,3.170120906211623,18.259999999999998,3.1752952618614856,3.166701463668465,16.05,3.2332871818012086,17.976410467888186,76.46,18.470525791108383,12.111692455648425,37.4348,19.018337511005004,0.03747660032435666,0.20210913867423153,1.1137784556634232
LOW_ROT_ON,col_20260222_112119_20hz,420,520,1771770112.283446,1771770117.189919,1771770114.7070947,0.0930140208516974,0.45489999999999997,0.3076335048397687,0.08174612196306318,0.40280000000000005,0.13086181948910844,0.032031099825013815,0.1543,1.057123386554285,3.3595925035634897,18.259999999999998,3.4431420243725057,3.005678084891993,16.13,3.134535212754835,17.38856504114126,75.86000000000001,17.66875142730804,11.730768408241635,37.5848,18.271979911717285,0.03812946921531777,0.20152963926137013,1.1087258649007878
