id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,sample_rate,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz
726,1770486407.3463,30.0,4.61793,0.3545,-0.2649,-1.0662,-3.06,1.21,3.24,15.0,LOW,v5_stream,2026-02-07T17:46:47.346299Z,15.0,15.15
727,1770486407.413,30.0,12.3112,0.1887,-0.186,-1.103,-1.49,4.98,11.16,15.0,LOW,v5_stream,2026-02-07T17:46:47.413000Z,15.0,15.15
728,1770486407.4797,29.8,9.07472,0.2251,-0.24,-1.0757,-2.89,5.11,6.92,15.0,LOW,v5_stream,2026-02-07T17:46:47.479700Z,15.0,15.15
729,1770486407.5463,30.0,7.81925,0.2756,-0.2336,-1.085,-3.31,4.22,5.69,15.0,LOW,v5_stream,2026-02-07T17:46:47.546299Z,15.0,15.15
730,1770486407.613,29.9,7.07894,0.3157,-0.2661,-1.0757,-3.35,3.92,4.85,15.0,LOW,v5_stream,2026-02-07T17:46:47.612999Z,15.0,15.15
731,1770486407.6797,30.0,6.17292,0.3232,-0.3167,-1.0696,-4.62,3.38,2.31,15.0,LOW,v5_stream,2026-02-07T17:46:47.679699Z,15.0,15.15
732,1770486407.7463,30.0,4.43806,0.3726,-0.2917,-1.0581,-3.08,3.06,-0.92,15.0,LOW,v5_stream,2026-02-07T17:46:47.746299Z,15.0,15.15
733,1770486407.813,30.0,2.82096,0.3838,-0.2861,-1.0505,-0.92,2.17,-1.55,15.0,LOW,v5_stream,2026-02-07T17:46:47.812999Z,15.0,15.15
734,1770486407.8797,29.9,1.88666,0.3967,-0.2451,-1.0486,-0.37,1.01,-1.55,15.0,LOW,v5_stream,2026-02-07T17:46:47.879699Z,15.0,15.15
735,1770486407.9463,29.9,3.80886,0.3743,-0.2236,-1.0234,0.04,1.57,-3.47,15.0,LOW,v5_stream,2026-02-07T17:46:47.946300Z,15.0,15.15
736,1770486408.013,29.9,4.14181,0.4006,-0.2166,-1.0125,-0.31,0.04,-4.13,15.0,LOW,v5_stream,2026-02-07T17:46:48.013000Z,15.0,15.15
737,1770486408.0797,30.1,3.9508,0.405,-0.1523,-1.0288,-0.44,-2.46,-3.06,15.0,LOW,v5_stream,2026-02-07T17:46:48.079699Z,15.0,15.15
738,1770486408.1463,29.9,4.5252,0.3809,-0.135,-1.0364,-0.98,-2.27,-3.79,15.0,LOW,v5_stream,2026-02-07T17:46:48.146300Z,15.0,15.15
739,1770486408.213,30.0,5.63152,0.4048,-0.1667,-1.0334,-0.6,-1.92,-5.26,15.0,LOW,v5_stream,2026-02-07T17:46:48.213000Z,15.0,15.15
740,1770486408.2797,29.9,5.45344,0.3638,-0.1499,-1.0425,0.06,-3.08,-4.5,15.0,LOW,v5_stream,2026-02-07T17:46:48.279700Z,15.0,15.15
741,1770486408.3463,30.0,5.70909,0.2988,-0.1399,-1.0581,-1.79,-4.14,-3.5,15.0,LOW,v5_stream,2026-02-07T17:46:48.346299Z,15.0,15.15
742,1770486408.413,30.0,6.87923,0.3235,-0.1641,-1.0701,-3.73,-4.22,-3.95,15.0,LOW,v5_stream,2026-02-07T17:46:48.413000Z,15.0,15.15
743,1770486408.4797,29.9,8.85217,0.3364,-0.1658,-1.0818,-1.73,-5.08,-7.04,15.0,LOW,v5_stream,2026-02-07T17:46:48.479700Z,15.0,15.15
744,1770486408.5463,29.9,13.1332,0.2517,-0.1975,-1.0862,-0.23,-5.53,-11.91,15.0,LOW,v5_stream,2026-02-07T17:46:48.546299Z,15.0,15.15
745,1770486408.613,29.9,17.9327,0.2537,-0.1787,-1.0906,0.02,-3.96,-17.49,15.0,LOW,v5_stream,2026-02-07T17:46:48.612999Z,15.0,15.15
746,1770486408.6797,29.9,15.6677,0.2173,-0.1348,-1.0793,0.02,-3.09,-15.36,15.0,LOW,v5_stream,2026-02-07T17:46:48.679699Z,15.0,15.15
747,1770486408.7463,30.0,11.0558,0.2417,-0.1116,-1.092,1.88,-2.68,-10.56,15.0,LOW,v5_stream,2026-02-07T17:46:48.746299Z,15.0,15.15
748,1770486408.813,30.0,7.53449,0.2083,-0.1072,-1.0967,1.58,-2.81,-6.81,15.0,LOW,v5_stream,2026-02-07T17:46:48.812999Z,15.0,15.15
749,1770486408.8797,30.0,9.47346,0.2026,-0.0972,-1.0867,1.76,-2.05,-9.08,15.0,LOW,v5_stream,2026-02-07T17:46:48.879699Z,15.0,15.15
750,1770486408.9463,30.0,12.7248,0.2158,-0.0742,-1.0957,1.4,-1.86,-12.51,15.0,LOW,v5_stream,2026-02-07T17:46:48.946300Z,15.0,15.15
751,1770486409.0155,30.0,21.064,0.3694,-0.2361,-1.0461,-1.69,1.23,-20.96,15.0,LOW,v5_stream,2026-02-07T17:46:49.015500Z,15.0,15.15
752,1770486409.0821,29.9,8.32697,0.1853,-0.1145,-1.0962,0.5,0.18,-8.31,15.0,LOW,v5_stream,2026-02-07T17:46:49.082099Z,15.0,15.15
753,1770486409.1488,30.0,9.17865,0.1943,-0.1423,-1.0896,-0.64,-0.34,-9.15,15.0,LOW,v5_stream,2026-02-07T17:46:49.148799Z,15.0,15.15
754,1770486409.2155,29.8,10.1749,0.1682,-0.1355,-1.0957,-0.27,-0.48,-10.16,15.0,LOW,v5_stream,2026-02-07T17:46:49.215500Z,15.0,15.15
755,1770486409.2821,30.0,7.86944,0.1521,-0.187,-1.1086,-0.46,1.09,-7.78,15.0,LOW,v5_stream,2026-02-07T17:46:49.282099Z,15.0,15.15
756,1770486409.3488,30.0,8.17592,0.197,-0.1873,-1.1038,0.78,2.22,-7.83,15.0,LOW,v5_stream,2026-02-07T17:46:49.348799Z,15.0,15.15
757,1770486409.4155,30.0,10.5293,0.175,-0.2314,-1.0957,1.3,1.28,-10.37,15.0,LOW,v5_stream,2026-02-07T17:46:49.415499Z,15.0,15.15
758,1770486409.4821,29.9,11.7711,0.1768,-0.2454,-1.0872,1.37,2.41,-11.44,15.0,LOW,v5_stream,2026-02-07T17:46:49.482100Z,15.0,15.15
759,1770486409.5488,30.0,11.9591,0.2083,-0.1907,-1.093,-0.29,3.05,-11.56,15.0,LOW,v5_stream,2026-02-07T17:46:49.548799Z,15.0,15.15
760,1770486409.6155,30.0,11.2732,0.2266,-0.1052,-1.1016,1.34,2.79,-10.84,15.0,LOW,v5_stream,2026-02-07T17:46:49.615499Z,15.0,15.15
761,1770486409.6821,30.0,10.6512,0.2585,-0.178,-1.0828,1.72,3.08,-10.05,15.0,LOW,v5_stream,2026-02-07T17:46:49.682100Z,15.0,15.15
762,1770486409.7488,30.0,10.9907,0.2874,-0.177,-1.075,-0.12,2.79,-10.63,15.0,LOW,v5_stream,2026-02-07T17:46:49.748800Z,15.0,15.15
763,1770486409.8155,30.0,14.7552,0.2773,-0.1179,-1.0901,-0.74,2.63,-14.5,15.0,LOW,v5_stream,2026-02-07T17:46:49.815500Z,15.0,15.15
764,1770486409.8821,29.9,17.9716,0.3049,-0.1406,-1.0811,-0.82,2.82,-17.73,15.0,LOW,v5_stream,2026-02-07T17:46:49.882100Z,15.0,15.15
765,1770486409.9488,29.9,15.5612,0.3384,-0.1492,-1.0994,-2.21,3.14,-15.08,15.0,LOW,v5_stream,2026-02-07T17:46:49.948800Z,15.0,15.15
766,1770486410.0155,30.0,14.6543,0.3457,-0.1843,-1.0872,-4.13,2.05,-13.91,15.0,LOW,v5_stream,2026-02-07T17:46:50.015500Z,15.0,15.15
767,1770486410.0821,30.0,16.0046,0.3413,-0.2129,-1.075,-2.56,1.47,-15.73,15.0,LOW,v5_stream,2026-02-07T17:46:50.082099Z,15.0,15.15
768,1770486410.1488,30.0,18.0092,0.3811,-0.1714,-1.0947,-4.18,0.98,-17.49,15.0,LOW,v5_stream,2026-02-07T17:46:50.148799Z,15.0,15.15
769,1770486410.2155,29.9,20.707,0.3704,-0.1628,-1.0933,-2.45,1.83,-20.48,15.0,LOW,v5_stream,2026-02-07T17:46:50.215500Z,15.0,15.15
770,1770486410.2821,30.0,22.8287,0.3979,-0.1711,-1.0947,-1.0,1.46,-22.76,15.0,LOW,v5_stream,2026-02-07T17:46:50.282099Z,15.0,15.15
771,1770486410.3488,30.0,22.4716,0.394,-0.1504,-1.075,0.17,1.18,-22.44,15.0,LOW,v5_stream,2026-02-07T17:46:50.348799Z,15.0,15.15
772,1770486410.4155,29.9,23.737,0.3884,-0.0691,-1.053,0.34,1.28,-23.7,15.0,LOW,v5_stream,2026-02-07T17:46:50.415499Z,15.0,15.15
773,1770486410.4821,30.0,26.9447,0.3972,-0.0391,-1.0244,2.0,0.14,-26.87,15.0,LOW,v5_stream,2026-02-07T17:46:50.482100Z,15.0,15.15
774,1770486410.5488,30.0,26.4874,0.3916,-0.001,-1.0281,3.91,0.95,-26.18,15.0,LOW,v5_stream,2026-02-07T17:46:50.548799Z,15.0,15.15
775,1770486410.6155,30.0,23.5358,0.4233,-0.0059,-1.0574,0.44,0.28,-23.53,15.0,LOW,v5_stream,2026-02-07T17:46:50.615499Z,15.0,15.15
776,1770486410.6819,30.0,11.7839,0.3196,-0.085,-1.0803,1.92,3.01,-11.23,15.0,LOW,v5_stream,2026-02-07T17:46:50.681900Z,15.0,15.15
777,1770486410.7486,29.9,25.1852,0.3679,-0.0066,-1.0469,-2.44,-1.53,-25.02,15.0,LOW,v5_stream,2026-02-07T17:46:50.748600Z,15.0,15.15
778,1770486410.8153,30.0,26.2111,0.3677,-0.0071,-1.0635,-3.73,-2.21,-25.85,15.0,LOW,v5_stream,2026-02-07T17:46:50.815299Z,15.0,15.15
779,1770486410.8819,29.9,25.5978,0.3743,-0.0071,-1.0803,-3.61,-2.38,-25.23,15.0,LOW,v5_stream,2026-02-07T17:46:50.881900Z,15.0,15.15
780,1770486410.9486,29.9,22.4704,0.3638,0.0156,-1.0879,-1.03,-1.73,-22.38,15.0,LOW,v5_stream,2026-02-07T17:46:50.948600Z,15.0,15.15
781,1770486411.0153,30.0,19.21,0.3533,-0.0342,-1.0901,-0.5,-1.56,-19.14,15.0,LOW,v5_stream,2026-02-07T17:46:51.015300Z,15.0,15.15
782,1770486411.0819,30.0,19.4974,0.3281,0.0017,-1.0796,0.14,-1.73,-19.42,15.0,LOW,v5_stream,2026-02-07T17:46:51.081899Z,15.0,15.15
783,1770486411.1486,29.9,20.8809,0.3091,0.0139,-1.0618,2.28,-1.04,-20.73,15.0,LOW,v5_stream,2026-02-07T17:46:51.148600Z,15.0,15.15
784,1770486411.2153,29.9,19.5617,0.3008,0.0859,-1.0637,3.17,-1.13,-19.27,15.0,LOW,v5_stream,2026-02-07T17:46:51.215300Z,15.0,15.15
785,1770486411.2819,30.1,15.5452,0.2925,0.0732,-1.063,1.8,-1.76,-15.34,15.0,LOW,v5_stream,2026-02-07T17:46:51.281899Z,15.0,15.15
786,1770486411.3486,30.0,14.4204,0.2866,0.0879,-1.0813,1.66,-2.47,-14.11,15.0,LOW,v5_stream,2026-02-07T17:46:51.348599Z,15.0,15.15
787,1770486411.4153,30.0,13.0859,0.2803,0.1172,-1.0774,0.4,-2.83,-12.77,15.0,LOW,v5_stream,2026-02-07T17:46:51.415299Z,15.0,15.15
788,1770486411.4819,30.0,13.9051,0.2712,0.1101,-1.0894,0.94,-1.69,-13.77,15.0,LOW,v5_stream,2026-02-07T17:46:51.481899Z,15.0,15.15
789,1770486411.5486,30.1,16.4006,0.2725,0.0562,-1.0942,0.21,-1.89,-16.29,15.0,LOW,v5_stream,2026-02-07T17:46:51.548599Z,15.0,15.15
790,1770486411.6153,29.9,9.52548,0.2493,0.0249,-1.1199,0.85,-1.21,-9.41,15.0,LOW,v5_stream,2026-02-07T17:46:51.615299Z,15.0,15.15
791,1770486411.6819,30.1,4.85396,0.2212,0.0354,-1.1008,1.02,-0.23,-4.74,15.0,LOW,v5_stream,2026-02-07T17:46:51.681900Z,15.0,15.15
792,1770486411.7486,30.0,9.12361,0.2188,-0.0071,-1.1006,3.63,0.08,-8.37,15.0,LOW,v5_stream,2026-02-07T17:46:51.748600Z,15.0,15.15
793,1770486411.8153,29.9,9.19324,0.219,-0.0264,-1.1035,1.76,0.24,-9.02,15.0,LOW,v5_stream,2026-02-07T17:46:51.815299Z,15.0,15.15
794,1770486411.8819,29.9,5.81826,0.2231,0.0032,-1.082,0.66,-0.09,-5.78,15.0,LOW,v5_stream,2026-02-07T17:46:51.881900Z,15.0,15.15
795,1770486411.9486,30.0,6.04193,0.2141,0.0337,-1.0876,2.68,1.01,-5.32,15.0,LOW,v5_stream,2026-02-07T17:46:51.948600Z,15.0,15.15
796,1770486412.0153,29.9,7.94201,0.1843,-0.0605,-1.0808,1.05,1.49,-7.73,15.0,LOW,v5_stream,2026-02-07T17:46:52.015300Z,15.0,15.15
797,1770486412.0819,29.9,5.85405,0.2078,0.0122,-1.0859,0.53,1.27,-5.69,15.0,LOW,v5_stream,2026-02-07T17:46:52.081899Z,15.0,15.15
798,1770486412.1486,30.0,4.99504,0.2029,0.0513,-1.0967,3.04,2.68,-2.92,15.0,LOW,v5_stream,2026-02-07T17:46:52.148600Z,15.0,15.15
799,1770486412.2153,29.9,7.67637,0.2314,0.0203,-1.092,2.45,4.04,-6.05,15.0,LOW,v5_stream,2026-02-07T17:46:52.215300Z,15.0,15.15
800,1770486412.2819,30.0,8.30608,0.251,-0.0144,-1.0874,-0.2,3.5,-7.53,15.0,LOW,v5_stream,2026-02-07T17:46:52.281899Z,15.0,15.15
